tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
BG,2016,71220000,7669496.0,2.0,OPEN,SERVICES,REGIONAL_AUTHORITY,BG,77.5262,32.0,77.6107
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
BG,2021,39000000,101941.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,BG,70.0,32.1429,62.5
CZ,2019,77200000,11667138.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,CZ,85.0199,46.9697,67.0194
BG,2015,63500000,15338992.0,3.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,83.1395,44.0476,77.5194
ES,2022,33100000,47795330.0,21.0,OPEN,SUPPLIES,REGIONAL_AUTHORITY,ES,100.0,45.8333,50.0
BG,2016,09100000,39702424.0,2.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,82.2092,43.3333,77.6423
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,OTHER,IT,78.5496,79.1667,50.0
SI,2015,33141800,171000.0,1.0,OPEN,SUPPLIES,OTHER,SI,66.6667,36.9811,76.5676
SI,2015,15800000,7763.0,2.0,OPEN,SUPPLIES,OTHER,SI,72.8477,37.619,73.2602
RO,2023,33140000,1909333.0,6.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,91.6829,37.1875,42.4812
RO,2022,33140000,6078203.0,8.0,OPEN,SUPPLIES,OTHER,ROMANIA,93.826,39.6774,42.807
HR,2015,33140000,420650.0,2.0,OPEN,SUPPLIES,PUBLIC_BODY,HR,98.4849,19.7222,75.8563
IT,2017,33651660,10000000000.0,2555.0,RESTRICTED,SUPPLIES,REGIONAL_AGENCY,IT,70.0,52.8302,50.0
IT,2016,90620000,1412833.63,2.0,OPEN,SERVICES,REGIONAL_AUTHORITY,IT,64.3172,0.8969,66.3915
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
RO,2019,30192113,6933834.0,3.0,APPROACHING_BIDDERS,SUPPLIES,REGIONAL_AUTHORITY,ROMANIA,89.8965,36.0,42.0168
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
BG,2016,60112000,8629686.0,1.0,OPEN,SERVICES,REGIONAL_AUTHORITY,BG,68.9655,17.8723,79.3548
CZ,2015,39713300,276437.0,1.0,OPEN,SUPPLIES,OTHER,CZ,58.3333,36.6667,77.7778
